matrix_type,solver,solver_family,sigma,repeat,image_idx,image_name,data_source,seed,status,solve_success,hit_iteration_cap,error_message,failed_blocks,psnr_db,mse,relative_error,relative_residual,condition_number,time_ms,gs_avg_iters,gs_hit_max_ratio,gmres_avg_iters,gmres_hit_max_ratio
dense,gmres,hybrid,0.0,0,18,kodak_kodim19,benchmark,42,ok,True,False,,0,99.0,7.406794189358322e-18,5.564937625854953e-09,4.311429827845911e-09,2.5107067648455232,390.9691,0.0,0.0,15.98828125,0.0
dense,np_solve,baseline,0.0,0,18,kodak_kodim19,benchmark,42,ok,True,False,,0,99.0,6.306930754065889e-32,5.135162529703073e-16,4.639581385136506e-16,2.5107067648455232,6.9467,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,19,kodak_kodim20,benchmark,42,ok,True,False,,0,99.0,1.2965722439760555e-31,4.98959672344605e-16,4.506866876915532e-16,2.5107067648455232,1348.964,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,19,kodak_kodim20,benchmark,42,ok,True,False,,0,99.0,9.241164216422852e-32,4.211471764629371e-16,3.792200213882397e-16,2.5107067648455232,257.8916,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,19,kodak_kodim20,benchmark,42,iter_limit,True,True,,0,99.0,6.642602683242858e-16,3.530898879521902e-08,3.201831739997962e-08,2.5107067648455232,5503.1817,21.26171875,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,19,kodak_kodim20,benchmark,42,ok,True,False,,0,99.0,1.5364308490979487e-17,5.385152218406973e-09,4.107523103111677e-09,2.5107067648455232,385.1812,0.0,0.0,15.99609375,0.0
dense,np_solve,baseline,0.0,0,19,kodak_kodim20,benchmark,42,ok,True,False,,0,99.0,1.3990905040605089e-31,5.209369987397118e-16,4.669493950681616e-16,2.5107067648455232,8.3933,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,20,kodak_kodim21,benchmark,42,ok,True,False,,0,99.0,6.140547697348336e-32,5.149225338425452e-16,4.649758407494298e-16,2.5107067648455232,1352.429,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,20,kodak_kodim21,benchmark,42,ok,True,False,,0,99.0,4.1289404704218156e-32,4.2231139892093876e-16,3.835427202879286e-16,2.5107067648455232,257.829,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,20,kodak_kodim21,benchmark,42,iter_limit,True,True,,0,99.0,2.446870540423163e-16,3.2492087311254574e-08,2.952172286974525e-08,2.5107067648455232,5468.4506,21.25,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,20,kodak_kodim21,benchmark,42,ok,True,False,,0,99.0,6.789715010568371e-18,5.42135720700974e-09,4.185723731582216e-09,2.5107067648455232,390.5095,0.0,0.0,15.9921875,0.0
dense,np_solve,baseline,0.0,0,20,kodak_kodim21,benchmark,42,ok,True,False,,0,99.0,6.11007572408296e-32,5.135789191774042e-16,4.661833393962209e-16,2.5107067648455232,7.1299,0.0,0.0,0.0,0.0
