matrix_type,solver,solver_family,sigma,cond,sample_count,success_rate,full_convergence_rate,psnr_mean,psnr_std,mse_mean,mse_std,rel_err_mean,rel_err_std,residual_mean,residual_std,time_ms_mean,time_ms_std,time_ms_median,time_ms_iqr,gs_iters_mean,gs_iters_std,gs_hit_max_ratio_mean,gs_hit_max_ratio_std,gmres_iters_mean,gmres_iters_std,gmres_hit_max_ratio_mean,gmres_hit_max_ratio_std
sparse,gmres,hybrid,0.03,2.617939524485603,72,1.0,1.0,50.02527701976963,0.09433541132724964,9.944243775410263e-06,2.11048339685947e-07,0.006980125768386376,0.0013769339158781649,5.206250247492945e-09,8.874714453842501e-11,362.90256250000004,9.320519479650573,358.80845,12.633150000000057,0.0,0.0,0.0,0.0,15.998969184027779,0.001853541328369478,0.0,0.0
sparse,gmres,hybrid,0.07,2.617939524485603,72,1.0,1.0,42.66893217196613,0.12515755055807726,5.4110165772433224e-05,1.4850321457371798e-06,0.01628949424808728,0.0031818134646497053,5.205934622668149e-09,8.932260769165676e-11,372.9329638888889,11.523579939708261,371.91025,15.854674999999986,0.0,0.0,0.0,0.0,15.998914930555555,0.0019909651108380414,0.0,0.0
sparse,gmres,hybrid,0.12,2.617939524485603,72,1.0,1.0,37.99875066869965,0.17058393216698903,0.00015865008752656638,5.8157234975141855e-06,0.027932099569823527,0.005459264026194043,5.210306619826068e-09,9.167961537345344e-11,364.43819861111115,10.879937809597184,359.17635,11.086349999999925,0.0,0.0,0.0,0.0,15.9990234375,0.0025179196570200065,0.0,0.0
sparse,lu,factorization,0.0,2.617939524485603,72,1.0,1.0,99.0,0.0,1.3338465689593172e-32,5.4999881853365655e-33,2.4239766206841384e-16,2.000602597501835e-18,2.2750706131121497e-16,1.6702916165548035e-18,247.49723333333336,10.53757131633094,245.06685,7.121575000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,lu,factorization,0.01,2.617939524485603,72,1.0,1.0,59.54923649334403,0.09280505375994376,1.1096171180371949e-06,2.335829867839445e-08,0.002328972638154023,0.00045229986517183774,2.288475850337092e-16,1.735055092231386e-18,249.9535402777778,7.289544869960797,248.4437,9.729075000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,lu,factorization,0.03,2.617939524485603,72,1.0,1.0,50.02527698787992,0.09433541590671697,9.944243848664709e-06,2.1104835343873552e-07,0.006980125794739904,0.0013769339166332145,2.290179333558894e-16,1.532122452219404e-18,245.4281222222222,6.473082854606283,242.92194999999998,7.911900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,lu,factorization,0.07,2.617939524485603,72,1.0,1.0,42.66893215727527,0.12515754711793578,5.4110165954271764e-05,1.4850321077502453e-06,0.016289494272185075,0.0031818134533445025,2.2870757653793927e-16,1.6201560288327468e-18,253.06102916666669,10.321847894887505,251.07575,14.104250000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,lu,factorization,0.12,2.617939524485603,72,1.0,1.0,37.99875064809429,0.17058392987025078,0.00015865008827642662,5.8157234651488025e-06,0.027932099636657857,0.005459264036751825,2.2894786099315857e-16,1.673168991653399e-18,244.5983625,5.674891777324797,242.65269999999998,5.634250000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,np_solve,baseline,0.0,2.617939524485603,72,1.0,1.0,99.0,0.0,3.543400362451234e-32,1.519964995560129e-32,3.9363471780315095e-16,6.35617734594539e-18,3.674953751618368e-16,6.730931049515787e-18,6.998973611111111,0.789562655193948,6.7753499999999995,0.3515499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,np_solve,baseline,0.01,2.617939524485603,72,1.0,1.0,59.54923649334403,0.09280505375994455,1.1096171180371947e-06,2.3358298678394642e-08,0.0023289726381540226,0.00045229986517183833,3.6845961652200703e-16,5.611604745323834e-18,6.8970361111111105,0.2519308256866206,6.8781,0.3639000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,np_solve,baseline,0.03,2.617939524485603,72,1.0,1.0,50.02527698787992,0.09433541590671705,9.944243848664709e-06,2.1104835343873393e-07,0.006980125794739904,0.0013769339166332143,3.6865420901174865e-16,5.3785892207869194e-18,6.829477777777778,0.5034749741944109,6.7529,0.25027499999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,np_solve,baseline,0.07,2.617939524485603,72,1.0,1.0,42.66893215727527,0.12515754711793417,5.411016595427177e-05,1.4850321077502313e-06,0.016289494272185075,0.0031818134533445025,3.687210933414931e-16,5.631774822344225e-18,7.152561111111112,0.8673875488354696,6.9028,0.4437250000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse,np_solve,baseline,0.12,2.617939524485603,72,1.0,1.0,37.99875064809429,0.17058392987025006,0.00015865008827642662,5.815723465148772e-06,0.027932099636657857,0.005459264036751825,3.686119551425115e-16,5.6084680885040515e-18,6.8228375,0.25874466909525173,6.77855,0.24505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
