image_name,matrix_type,solver,sigma,mse_mean,mse_max,mse_median
kodak_kodim03,dense,gaussian,0.01,1.985013865898692e-07,1.9991921228471684e-07,1.9862798846952482e-07
kodak_kodim03,dense,gaussian,0.03,1.8060467104741125e-06,1.8308962869299276e-06,1.8175030799536674e-06
kodak_kodim03,dense,gaussian,0.07,9.685417393674688e-06,9.76980553174232e-06,9.679669156707665e-06
kodak_kodim03,dense,gaussian,0.12,2.861092806652216e-05,2.881276434842339e-05,2.8513287114454024e-05
kodak_kodim03,dense,gmres,0.0,5.245362127489026e-18,5.245362127489026e-18,5.245362127489026e-18
kodak_kodim03,dense,gmres,0.01,1.985013986190038e-07,1.999192290273219e-07,1.9862802209307282e-07
kodak_kodim03,dense,gmres,0.03,1.806046769475596e-06,1.8308963214592653e-06,1.817503136473512e-06
kodak_kodim03,dense,gmres,0.07,9.685417361963028e-06,9.769805728089922e-06,9.679668923770552e-06
kodak_kodim03,dense,gmres,0.12,2.8610928175697836e-05,2.8812764461479492e-05,2.8513287105852733e-05
kodak_kodim03,dense,lu,0.0,3.230361610548517e-32,3.230361610548517e-32,3.230361610548517e-32
kodak_kodim03,dense,lu,0.01,1.9850138658986878e-07,1.9991921228471695e-07,1.9862798846952315e-07
kodak_kodim03,dense,lu,0.03,1.8060467104741144e-06,1.8308962869299287e-06,1.8175030799536717e-06
kodak_kodim03,dense,lu,0.07,9.685417393674693e-06,9.769805531742334e-06,9.679669156707651e-06
kodak_kodim03,dense,lu,0.12,2.861092806652216e-05,2.8812764348423365e-05,2.8513287114454034e-05
kodak_kodim03,dense,np_solve,0.0,4.812398400729409e-32,4.812398400729409e-32,4.812398400729409e-32
kodak_kodim03,dense,np_solve,0.01,1.9850138658986764e-07,1.9991921228471425e-07,1.9862798846952313e-07
kodak_kodim03,dense,np_solve,0.03,1.806046710474116e-06,1.830896286929935e-06,1.8175030799536734e-06
kodak_kodim03,dense,np_solve,0.07,9.685417393674688e-06,9.769805531742334e-06,9.679669156707645e-06
kodak_kodim03,dense,np_solve,0.12,2.861092806652216e-05,2.88127643484234e-05,2.8513287114453993e-05
kodak_kodim03,sparse,gauss_seidel,0.0,5.556868843604171e-17,5.556868843604171e-17,5.556868843604171e-17
kodak_kodim03,sparse,gauss_seidel,0.01,1.106971500373855e-06,1.113205343369147e-06,1.1129288186131067e-06
kodak_kodim03,sparse,gauss_seidel,0.03,1.0037488743814043e-05,1.0164556109143631e-05,1.0092876191761075e-05
kodak_kodim03,sparse,gauss_seidel,0.07,5.479634390221914e-05,5.5151094362131784e-05,5.504993961830579e-05
kodak_kodim03,sparse,gauss_seidel,0.12,0.0001600846598131491,0.00016173212341437387,0.000159509640254033
kodak_kodim03,sparse,gaussian,0.0,2.0867026458428688e-32,2.0867026458428688e-32,2.0867026458428688e-32
kodak_kodim03,sparse,gaussian,0.01,1.1069714566619073e-06,1.113205141666303e-06,1.1129290707848626e-06
kodak_kodim03,sparse,gaussian,0.03,1.0037488860135365e-05,1.0164556589471506e-05,1.0092875992968157e-05
kodak_kodim03,sparse,gaussian,0.07,5.4796343874913186e-05,5.515109424204638e-05,5.5049939220309e-05
kodak_kodim03,sparse,gaussian,0.12,0.00016008465955131483,0.00016173212692358047,0.00015950963744331738
kodak_kodim03,sparse,gmres,0.0,6.9315887396097966e-18,6.9315887396097966e-18,6.9315887396097966e-18
kodak_kodim03,sparse,gmres,0.01,1.1069715474075118e-06,1.1132052248588635e-06,1.1129291815334955e-06
kodak_kodim03,sparse,gmres,0.03,1.0037488786053847e-05,1.016455633698618e-05,1.0092876001191827e-05
kodak_kodim03,sparse,gmres,0.07,5.479634338051265e-05,5.515109391785192e-05,5.504993856880167e-05
kodak_kodim03,sparse,gmres,0.12,0.0001600846581704682,0.00016173212456492697,0.0001595096364832635
kodak_kodim03,sparse,lu,0.0,1.060038593501808e-32,1.060038593501808e-32,1.060038593501808e-32
kodak_kodim03,sparse,lu,0.01,1.106971456661906e-06,1.113205141666303e-06,1.112929070784863e-06
kodak_kodim03,sparse,lu,0.03,1.0037488860135363e-05,1.0164556589471511e-05,1.0092875992968152e-05
kodak_kodim03,sparse,lu,0.07,5.479634387491318e-05,5.515109424204635e-05,5.5049939220309004e-05
kodak_kodim03,sparse,lu,0.12,0.00016008465955131483,0.0001617321269235804,0.0001595096374433174
kodak_kodim03,sparse,np_solve,0.0,2.837859804706495e-32,2.837859804706495e-32,2.837859804706495e-32
kodak_kodim03,sparse,np_solve,0.01,1.1069714566619086e-06,1.113205141666305e-06,1.1129290707848673e-06
kodak_kodim03,sparse,np_solve,0.03,1.0037488860135363e-05,1.016455658947151e-05,1.009287599296816e-05
kodak_kodim03,sparse,np_solve,0.07,5.479634387491318e-05,5.515109424204636e-05,5.504993922030898e-05
kodak_kodim03,sparse,np_solve,0.12,0.00016008465955131483,0.00016173212692358047,0.00015950963744331738
